Feature,Type,MSE,NMSE,Missing Precision,Missing Recall,Number of Valid Cases
Age,Continuous,0.6320300000000001,0.00238038756605236,,,30
WorstMRSAcute,Continuous,3.269230769230769,5.77445652173913,0.5,0.5,26
CSFWBCQuant,Continuous,4563.040178571428,2.015393960904226,0.9285714285714286,0.8125,14
DaysToIT,Continuous,4263.6,5.050594924713067,0.875,0.35,10
MonthsToFU,Continuous,511.2104208333316,0.8843147481030826,0.625,0.8333333333333334,24
FinalMRS,Continuous,3.413793103448276,1.313744075829384,0.3333333333333333,1.0,29
